	study_name	sample_id	NCBI_accession	ftp_urls	url_counts
22016	XieH_2016	YSZC12003_37101	ERR912026	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912026/ERR912026_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912026/ERR912026_2.fastq.gz	2
22017	XieH_2016	YSZC12003_37102	ERR912139	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912139/ERR912139_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912139/ERR912139_2.fastq.gz	2
22018	XieH_2016	YSZC12003_37103	ERR912140	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912140/ERR912140_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912140/ERR912140_2.fastq.gz	2
22019	XieH_2016	YSZC12003_37105	ERR912027	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912027/ERR912027_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912027/ERR912027_2.fastq.gz	2
22020	XieH_2016	YSZC12003_37126	ERR912106	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912106/ERR912106_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912106/ERR912106_2.fastq.gz	2
22021	XieH_2016	YSZC12003_37127	ERR912191	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912191/ERR912191_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912191/ERR912191_2.fastq.gz	2
22022	XieH_2016	YSZC12003_37133	ERR912141	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912141/ERR912141_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912141/ERR912141_2.fastq.gz	2
22023	XieH_2016	YSZC12003_37134	ERR912028	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912028/ERR912028_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912028/ERR912028_2.fastq.gz	2
22024	XieH_2016	YSZC12003_37135	ERR912029	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912029/ERR912029_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912029/ERR912029_2.fastq.gz	2
22025	XieH_2016	YSZC12003_37136	ERR912030	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912030/ERR912030_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912030/ERR912030_2.fastq.gz	2
22026	XieH_2016	YSZC12003_37137	ERR912031	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912031/ERR912031_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912031/ERR912031_2.fastq.gz	2
22027	XieH_2016	YSZC12003_37138	ERR912032	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912032/ERR912032_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912032/ERR912032_2.fastq.gz	2
22028	XieH_2016	YSZC12003_37171	ERR912192	ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912192/ERR912192_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR912/ERR912192/ERR912192_2.fastq.gz	2
